ticker,company,aliases,country,sector,idx_code,idx_board,listed_shares,listing_date_raw
BSWD.JK,Bank Of India Indonesia Tbk.,BSWD;BSWD.JK;Bank Of India Indonesia Tbk.;Bank Of India Indonesia,Indonesia,,BSWD,Pemantauan Khusus,3651978177,01 Mei 2002
BTEK.JK,Bumi Teknokultura Unggul Tbk,BTEK;BTEK.JK;Bumi Teknokultura Unggul Tbk;Bumi Teknokultura Unggul,Indonesia,,BTEK,Pemantauan Khusus,46277496376,14 Mei 2004
BTEL.JK,Bakrie Telecom Tbk.,BTEL;BTEL.JK;Bakrie Telecom Tbk.;Bakrie Telecom,Indonesia,,BTEL,Pemantauan Khusus,36822665755,03 Feb 2006
BTON.JK,Betonjaya Manunggal Tbk.,BTON;BTON.JK;Betonjaya Manunggal Tbk.;Betonjaya Manunggal,Indonesia,,BTON,Pengembangan,720000000,18 Jul 2001
BTPN.JK,Bank SMBC Indonesia Tbk.,BTPN;BTPN.JK;Bank SMBC Indonesia Tbk.;Bank SMBC Indonesia,Indonesia,,BTPN,Utama,10536203690,12 Mar 2008
BUDI.JK,Budi Starch & Sweetener Tbk.,BUDI;BUDI.JK;Budi Starch & Sweetener Tbk.;Budi Starch & Sweetener,Indonesia,,BUDI,Utama,4498997362,08 Mei 1995
BUKK.JK,Bukaka Teknik Utama Tbk.,BUKK;BUKK.JK;Bukaka Teknik Utama Tbk.;Bukaka Teknik Utama,Indonesia,,BUKK,Pengembangan,2640452000,29 Jun 2015
BULL.JK,Buana Lintas Lautan Tbk.,BULL;BULL.JK;Buana Lintas Lautan Tbk.;Buana Lintas Lautan,Indonesia,,BULL,Pengembangan,15494436593,23 Mei 2011
BUMI.JK,Bumi Resources Tbk.,BUMI;BUMI.JK;Bumi Resources Tbk.;Bumi Resources,Indonesia,,BUMI,Utama,371335392068,30 Jul 1990
BUVA.JK,Bukit Uluwatu Villa Tbk.,BUVA;BUVA.JK;Bukit Uluwatu Villa Tbk.;Bukit Uluwatu Villa,Indonesia,,BUVA,Pengembangan,24617054642,12 Jul 2010
BVIC.JK,Bank Victoria International Tb,BVIC;BVIC.JK;Bank Victoria International Tb,Indonesia,,BVIC,Utama,18235266754,30 Jun 1999
BWPT.JK,Eagle High Plantations Tbk.,BWPT;BWPT.JK;Eagle High Plantations Tbk.;Eagle High Plantations,Indonesia,,BWPT,Utama,31525291000,27 Okt 2009
BYAN.JK,Bayan Resources Tbk.,BYAN;BYAN.JK;Bayan Resources Tbk.;Bayan Resources,Indonesia,,BYAN,Utama,33333335000,12 Agt 2008
CANI.JK,Capitol Nusantara Indonesia Tb,CANI;CANI.JK;Capitol Nusantara Indonesia Tb,Indonesia,,CANI,Pemantauan Khusus,833440000,16 Jan 2014
CASS.JK,Cahaya Aero Services Tbk.,CASS;CASS.JK;Cahaya Aero Services Tbk.;Cahaya Aero Services,Indonesia,,CASS,Utama,2086950000,05 Des 2011
CEKA.JK,Wilmar Cahaya Indonesia Tbk.,CEKA;CEKA.JK;Wilmar Cahaya Indonesia Tbk.;Wilmar Cahaya Indonesia,Indonesia,,CEKA,Pengembangan,595000000,09 Jul 1996
CENT.JK,Centratama Telekomunikasi Indo,CENT;CENT.JK;Centratama Telekomunikasi Indo,Indonesia,,CENT,Pengembangan,31183464900,01 Nov 2001
CFIN.JK,Clipan Finance Indonesia Tbk.,CFIN;CFIN.JK;Clipan Finance Indonesia Tbk.;Clipan Finance Indonesia,Indonesia,,CFIN,Utama,3984520457,27 Agt 1990
CINT.JK,Chitose Internasional Tbk.,CINT;CINT.JK;Chitose Internasional Tbk.;Chitose Internasional,Indonesia,,CINT,Pengembangan,1000000000,27 Jun 2014
CITA.JK,Cita Mineral Investindo Tbk.,CITA;CITA.JK;Cita Mineral Investindo Tbk.;Cita Mineral Investindo,Indonesia,,CITA,Utama,3960361250,20 Mar 2002
CLPI.JK,Colorpak Indonesia Tbk.,CLPI;CLPI.JK;Colorpak Indonesia Tbk.;Colorpak Indonesia,Indonesia,,CLPI,Pengembangan,306338500,30 Nov 2001
CMNP.JK,Citra Marga Nusaphala Persada,CMNP;CMNP.JK;Citra Marga Nusaphala Persada,Indonesia,,CMNP,Utama,6696354391,10 Jan 1995
CMPP.JK,AirAsia Indonesia Tbk.,CMPP;CMPP.JK;AirAsia Indonesia Tbk.;AirAsia Indonesia,Indonesia,,CMPP,Pemantauan Khusus,10685124441,08 Des 1994
CNKO.JK,Exploitasi Energi Indonesia Tb,CNKO;CNKO.JK;Exploitasi Energi Indonesia Tb,Indonesia,,CNKO,Pemantauan Khusus,8956361206,20 Nov 2001
CNTX.JK,Century Textile Industry Tbk.,CNTX;CNTX.JK;Century Textile Industry Tbk.;Century Textile Industry,Indonesia,,CNTX,Pemantauan Khusus,70000000,22 Mei 1979
COWL.JK,Cowell Development Tbk.,COWL;COWL.JK;Cowell Development Tbk.;Cowell Development,Indonesia,,COWL,Pemantauan Khusus,4871214021,19 Des 2007
CPIN.JK,Charoen Pokphand Indonesia Tbk,CPIN;CPIN.JK;Charoen Pokphand Indonesia Tbk;Charoen Pokphand Indonesia,Indonesia,,CPIN,Utama,16398000000,18 Mar 1991
CPRO.JK,Central Proteina Prima Tbk.,CPRO;CPRO.JK;Central Proteina Prima Tbk.;Central Proteina Prima,Indonesia,,CPRO,Pengembangan,59572382787,28 Nov 2006
CSAP.JK,Catur Sentosa Adiprana Tbk.,CSAP;CSAP.JK;Catur Sentosa Adiprana Tbk.;Catur Sentosa Adiprana,Indonesia,,CSAP,Pemantauan Khusus,5683175151,12 Des 2007
CTBN.JK,Citra Tubindo Tbk.,CTBN;CTBN.JK;Citra Tubindo Tbk.;Citra Tubindo,Indonesia,,CTBN,Pengembangan,800371500,28 Nov 1989
CTRA.JK,Ciputra Development Tbk.,CTRA;CTRA.JK;Ciputra Development Tbk.;Ciputra Development,Indonesia,,CTRA,Utama,18535695255,28 Mar 1994
CTTH.JK,Citatah Tbk.,CTTH;CTTH.JK;Citatah Tbk.;Citatah,Indonesia,,CTTH,Pengembangan,1230839821,03 Jul 1996
DART.JK,Duta Anggada Realty Tbk.,DART;DART.JK;Duta Anggada Realty Tbk.;Duta Anggada Realty,Indonesia,,DART,Pengembangan,3141390962,08 Mei 1990
DEFI.JK,Danasupra Erapacific Tbk.,DEFI;DEFI.JK;Danasupra Erapacific Tbk.;Danasupra Erapacific,Indonesia,,DEFI,Pengembangan,687266666,06 Jul 2001
DEWA.JK,Darma Henwa Tbk,DEWA;DEWA.JK;Darma Henwa Tbk;Darma Henwa,Indonesia,,DEWA,Utama,40687434244,26 Sep 2007
